,com,act,lab,cap,ptx,mtx,hhd,gov,inv,row,tot
com,,,,,,,38400.83,17362.54,43352.14,18792.61,117908.12000000001
act,101642.20000000004,,,,,,,,,,101642.20000000004
lab,,52956.55,,,,,,,,,52956.55
cap,,39727.62,,,,,,,,,39727.62
ptx,,8958.02,,,,,,,,,8958.02
mtx,256.43,,,,,,,,,,256.43
hhd,,,52956.55,39727.62,,,,,,,92684.17000000001
gov,,,,,8958.02,256.43,1156.83,,,,10371.28
inv,,,,,,,53126.52,-6991.26,,-2783.12,43352.13999999999
row,16009.49,,,,,,,,,,16009.49
tot,117908.12000000004,101642.19000000002,52956.55,39727.62,8958.02,256.43,92684.18,10371.28,43352.14,16009.490000000002,
